u1x,u1y,u1h,u1v,u2x,u2y,u2h,u2v,u3x,u3y,u3h,u3v,u4x,u4y,u4h,u4v
-2.828427124746189847e+01,-1.500000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,-3.828427124746190202e+01,-4.200000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,-4.828427124746190202e+01,7.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,-5.828427124746190202e+01,-2.500000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
-2.578427124746189847e+01,-1.500000000000000000e+01,1.000000000000000000e+01,2.500000000000000000e+00,-3.578427124746190202e+01,-4.200000000000000000e+01,1.000000000000000000e+01,2.500000000000000000e+00,-4.578427124746190202e+01,7.000000000000000000e+00,1.000000000000000000e+01,2.500000000000000000e+00,-5.578427124746190202e+01,-2.500000000000000000e+01,1.000000000000000000e+01,2.500000000000000000e+00
-2.328427124746189847e+01,-1.412438584482307746e+01,1.000000000000000000e+01,2.648905462402574074e+00,-3.328427124746190202e+01,-4.112438584482308102e+01,1.000000000000000000e+01,2.648905462402574518e+00,-4.328427124746190202e+01,7.875614155176921649e+00,1.000000000000000000e+01,2.648905462402574074e+00,-5.328427124746190202e+01,-2.412438584482307746e+01,1.000000000000000000e+01,2.648905462402574518e+00
-2.078427124746189847e+01,-1.162438584482307746e+01,1.000000000000000000e+01,3.535533905932737753e+00,-3.078427124746190202e+01,-3.862438584482308102e+01,1.000000000000000000e+01,3.535533905932737753e+00,-4.078427124746190202e+01,1.037561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00,-5.078427124746190202e+01,-2.162438584482307746e+01,1.000000000000000000e+01,3.535533905932737753e+00
-1.828427124746189847e+01,-9.124385844823077463e+00,1.000000000000000000e+01,3.535533905932737753e+00,-2.828427124746190202e+01,-3.612438584482308102e+01,1.000000000000000000e+01,3.535533905932737753e+00,-3.828427124746190202e+01,1.287561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00,-4.828427124746190202e+01,-1.912438584482307746e+01,1.000000000000000000e+01,3.535533905932737753e+00
-1.578427124746189847e+01,-6.624385844823077463e+00,1.000000000000000000e+01,3.535533905932737753e+00,-2.578427124746190202e+01,-3.362438584482308102e+01,1.000000000000000000e+01,3.535533905932737753e+00,-3.578427124746190202e+01,1.537561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00,-4.578427124746190202e+01,-1.662438584482307746e+01,1.000000000000000000e+01,3.535533905932737753e+00
-1.578427124746189847e+01,-6.624385844823077463e+00,1.000000000000000000e+01,0.000000000000000000e+00,-2.578427124746190202e+01,-3.362438584482308102e+01,1.000000000000000000e+01,0.000000000000000000e+00,-3.578427124746190202e+01,1.537561415517692254e+01,1.000000000000000000e+01,0.000000000000000000e+00,-4.578427124746190202e+01,-1.662438584482307746e+01,1.000000000000000000e+01,0.000000000000000000e+00
-1.328427124746189847e+01,-4.124385844823077463e+00,1.000000000000000000e+01,3.535533905932737753e+00,-2.328427124746190202e+01,-3.112438584482308102e+01,1.000000000000000000e+01,3.535533905932737753e+00,-3.328427124746190202e+01,1.787561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00,-4.328427124746190202e+01,-1.412438584482307746e+01,1.000000000000000000e+01,3.535533905932737753e+00
-1.078427124746189847e+01,-1.624385844823077463e+00,1.000000000000000000e+01,3.535533905932737753e+00,-2.078427124746190202e+01,-2.862438584482308102e+01,1.000000000000000000e+01,3.535533905932737753e+00,-3.078427124746190202e+01,2.037561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00,-4.078427124746190202e+01,-1.162438584482307746e+01,1.000000000000000000e+01,3.535533905932737753e+00
-8.284271247461898469e+00,8.756141551769225373e-01,1.000000000000000000e+01,3.535533905932737753e+00,-1.828427124746190202e+01,-2.612438584482308102e+01,1.000000000000000000e+01,3.535533905932737753e+00,-2.828427124746190202e+01,2.287561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00,-3.828427124746190202e+01,-9.124385844823077463e+00,1.000000000000000000e+01,3.535533905932737753e+00
